state_fips,abbr,state,actual_ev_2024,actual_house_2024
01,AL,Alabama,9,7
02,AK,Alaska,3,1
04,AZ,Arizona,11,9
05,AR,Arkansas,6,4
06,CA,California,54,52
08,CO,Colorado,10,8
09,CT,Connecticut,7,5
10,DE,Delaware,3,1
11,DC,District of Columbia,3,0
12,FL,Florida,30,28
13,GA,Georgia,16,14
15,HI,Hawaii,4,2
16,ID,Idaho,4,2
17,IL,Illinois,19,17
18,IN,Indiana,11,9
19,IA,Iowa,6,4
20,KS,Kansas,6,4
21,KY,Kentucky,8,6
22,LA,Louisiana,8,6
23,ME,Maine,4,2
24,MD,Maryland,10,8
25,MA,Massachusetts,11,9
26,MI,Michigan,15,13
27,MN,Minnesota,10,8
28,MS,Mississippi,6,4
29,MO,Missouri,10,8
30,MT,Montana,4,2
31,NE,Nebraska,5,3
32,NV,Nevada,6,4
33,NH,New Hampshire,4,2
34,NJ,New Jersey,14,12
35,NM,New Mexico,5,3
36,NY,New York,28,26
37,NC,North Carolina,16,14
38,ND,North Dakota,3,1
39,OH,Ohio,17,15
40,OK,Oklahoma,7,5
41,OR,Oregon,8,6
42,PA,Pennsylvania,19,17
44,RI,Rhode Island,4,2
45,SC,South Carolina,9,7
46,SD,South Dakota,3,1
47,TN,Tennessee,11,9
48,TX,Texas,40,38
49,UT,Utah,6,4
50,VT,Vermont,3,1
51,VA,Virginia,13,11
53,WA,Washington,12,10
54,WV,West Virginia,4,2
55,WI,Wisconsin,10,8
56,WY,Wyoming,3,1
